新闻 | 2019年07月08日|华为与复旦大学合作开发全国首个医学人工智能课程|近日，华为与复旦大学基础医学院合作开发的 医学人工智能与机器学习课程在上海复旦大学进行集中授课，吸引了来自医学院与附属医院的120多名本科生和研究生参与。
新闻 | 2018年10月23日|华为SmartWi-Fi解决方案助力巴林电信高品质家庭Wi-Fi服务|近日，巴林电信宣布将采用华为SmartWi-Fi解决方案，为巴林电信宽带用户提供家庭高速Wi-Fi智能无缝全覆盖，并通过云端远程管理和智能排障系统优化用户的家庭宽带体验，显著降低运维成本。
新闻 | 2018年10月23日|华为发布《物联网安全技术白皮书2018》|近日，华为在第四届全球物联网解决方案大会期间发布了《物联网安全技术白皮书2018》。
新闻 | 2018年10月22日|华为CloudFabric全面支持容器网络自动化部署，进一步提高企业业务敏捷性|近日，在HUAWEI CONNECT 2018期间，华为宣布其CloudFabric智简云数据中心网络解决方案全面支持容器网络自动化部署，可以与业界领先的企业级Kubernetes平台通过新插件协同工作。
新闻 | 2018年10月22日|华为与西门子联合发布制造云桌面联合解决方案|近日，在华为全联接大会2018上，华为携手西门子共同举办了制造云桌面联合解决方案发布仪式，推出了基于西门子NX软件和华为FusionAccess桌面云平台的制造云桌面联合解决方案，打造安全稳定、灵活接入、性价比高的制造云桌面解决方案，促进智能制造和工业4.0的发展。
新闻 | 2018年10月22日|华为海洋PEACE海缆项目启动海缆和设备生产|PEACE国际海缆网络系统有限公司（亨通集团子公司）和华为海洋网络有限公司今日联合宣布，PEACE海缆项目进入海缆和设备生产环节。该海缆项目全程12,000公里，将连接亚洲、非洲和欧洲，并计划在2020年第一季度提供商用服务。
新闻 | 2018年10月22日|华为携手帆软实现数据可视化互认证，提供全面大数据服务|近日，华为与帆软软件有限公司（以下简称帆软）宣布，已完成华为FusionInsight大数据解决方案与帆软数据可视化软件的互认证。
新闻 | 2018年10月22日|华为荣获HPC China 2018大会智能HPC创新奖|在近日举行的HPC China 2018大会上，华为荣获由中国计算机学会高性能计算专业委员会颁发的智能HPC（高性能计算）解决方案创新奖，以表彰华为在加速HPC智能化方面做出的技术创新和成功实践。
新闻 | 2018年10月19日|华为与中国软件联合打造新一代智慧电子税务局解决方案|近日，在华为全联接大会2018（HUAWEI CONNECT）上，华为携手中国软件与技术服务股份有限公司（简称中国软件）结合双方的PaaS能力共同发布新一代智慧电子税务局解决方案，为纳税人提供多元化、个性化、零距离的优质纳税服务，提升纳税人的遵从度和满意度，降低征纳成本，强化以纳税人为中心的服务理念。
新闻 | 2018年10月19日|华为与合作伙伴在HUAWEI CONNECT 2018成立政务大数据联盟|近日，在华为全联接大会2018（HUAWEI CONNECT）上，华为与国泰新点、国脉互联、易达讯、广通软件、东方通、华傲数据、中智软件、睿呈时代、东方国信、中安星云等生态合作伙伴一同发力，成立政务大数据联盟，助力政府行业数字转型及跨越式发展。
新闻 | 2018年10月19日|华为携手云天励飞打造AI视觉平台，让城市更便利、更安全|近日，在华为全联接大会2018（HUAWEI CONNECT 2018）上，华为与视觉智能服务提供商云天励飞联合发布了AI视觉平台解决方案。
新闻 | 2018年10月19日|华为携手卫宁健康构建智慧医疗数据湖解决方案，加速医疗+人工智能创新|近日，在华为全联接大会2018（HUAWEI CONNECT）上，华为联合卫宁健康科技集团股份有限公司（简称卫宁健康）发布智慧医疗数据湖解决方案。
新闻 | 2018年10月19日|华为携手依图科技发布智慧园区解决方案|近日，在HUAWEI CONNECT 2018期间，华为携手依图科技联合发布了面向企业市场的智慧园区解决方案，该方案基于华为Atlas智能计算平台及依图云悉明眸软件平台，共同打造灵活强大、安全可靠的智慧安防系统，帮助企业提升园区管理效率。
新闻 | 2018年10月19日|华为发布智能服务器，让智能使能数据中心|近日，在HUAWEI CONNECT 2018上，华为发布了智能服务器。智能服务器基于华为管理软件芯片构建智能服务器管理系统iBMC，提供数据中心级别的服务器智能管理系统FusionDirector。
新闻 | 2018年10月19日|华为举办中东5G生态大会|近日，华为在第三届中东创新日举办了主题为5G已来，迈向新eMBB世界的5G生态大会。
新闻 | 2018年10月19日|华为获2018全球物联网解决方案大会|“商业转型”大奖和“创新技术奖”提名|2018年全球物联网解决方案大会（IoT Solutions World Congress 2018）在西班牙巴塞罗那举办的大会晚宴上隆重宣布四项大奖名单。
新闻 | 2018年10月18日|华为与石化盈科携手打造工业云平台ProMACE 2.0|近日，在华为全联接大会2018（HUAWEI CONNECT）期间，石化盈科信息技术有限责任公司（简称石化盈科）与华为签订战略合作协议。根据协议，双方将共同打造智能时代的ProMACE工业云平台，推进企业数字化转型。
新闻 | 2018年10月18日|华为携手瑞星发布云安全联合解决方案|近日，在华为全联接大会2018（HUAWEI CONNECT）上，华为联合瑞星公司面向中国市场共同发布了云安全联合解决方案。
新闻 | 2018年10月18日|华为与Riverbed推出联合解决方案，加速NAS数据迁移性能|近日，在华为全联接大会2018（HUAWEI CONNECT）上，华为与数字性能公司Riverbed科技共同宣布推出采用Riverbed领先的SteelHead广域网加速解决方案和华为网络附加存储（NAS）数据迁移技术的联合解决方案。
新闻 | 2018年10月18日|华为发布全新分支机构解决方案FusionROBO|近日，在华为全联接大会2018（HUAWEI CONNECT）期间，华为发布了面向企业分支机构的一体化解决方案FusionROBO。
新闻 | 2018年10月17日|华为联合伙伴发布OceanConnect IoT云服务产业白皮书，共筑产业黑土地|在HUAWEI CONNECT 2018期间，华为联合奥格、奥特股份、阿牧网云、金卡、泰华智慧、捷顺、泛海三江、成为智能等生态伙伴发布《华为OceanConnect IoT云服务产业白皮书》及多个行业联合解决方案白皮书（以下简称白皮书）。
新闻 | 2018年10月17日|华为与西班牙Orange联合发布面向5G的“1+1”天面全场景解决方案|近日，西班牙Orange与华为在马德里联合举行第七届全球天线技术暨产业论坛，并发布面向5G的1+1天面全场景解决方案，认为5G时代需要1面无源天线收编现网所有天线，释放天面空间部署Massive MIMO天线，实现一次部署满足未来演进。
新闻 | 2018年10月17日|华为诠释面向5G的极简网络概念|在2018 SDN NFV全球大会期间，华为从极简站点、极简架构、极简协议和极简运维四个方面诠释了面向5G的极简网络概念。
新闻 | 2018年10月17日|华为携手易华录发布城市交通道安云解决方案|近日，在华为全联接大会2018（HUAWEI CONNECT 2018）上，华为联合北京易华录信息技术股份有限公司（简称易华录）发布城市交通道安云解决方案。
新闻 | 2018年10月17日|华为携手Atempo发布海量非结构化数据流动管理解决方案|在华为全联接大会2018（HUAWEI CONNECT）上，华为与Atempo联合发布了基于Atempo软件的高性能、高度可扩展的数据移动解决方案。该方案全面支持华为的NAS和对象存储产品，Atempo与华为作为行业的领导者充分发挥各自的技术优势，精诚合作，为客户大容量的NAS非结构化数据管理提供灵活的备份、归档和迁移服务。
新闻 | 2018年10月17日|华为发布智能加速引擎部件，全面加速企业应用|在华为全联接大会2018（HUAWEI CONNECT）上，华为发布智能加速引擎部件，包括IN5500系列智能加速网卡和ES3000 V5系列SSD硬盘，通过释放CPU资源，解决拥塞降低时延，实现算力加速、性能加速和带宽加速。
新闻 | 2018年10月17日|华为发布CDM融合数据管理解决方案，让全闪存具备基于云的备份和灾难恢复功能|在华为全联接大会2018（HUAWEI CONNECT）上，华为发布CDM（Converged Data Management）融合数据管理解决方案，通过对存储软硬件的技术创新，让全闪存存储具备基于云的备份和灾难恢复功能，并以统一的软件界面，实现容灾、备份、数据再利用的融合管理，降低客户灾备建设成本，提升数据价值。
新闻 | 2018年10月17日|华为发布业界首款AI防火墙，让企业边界防护智能化|在HUAWEI CONNECT 2018期间，华为发布了业界首款AI防火墙，集成高级威胁检测能力并联动云端，为企业提供智能化的网络边界防护。
新闻 | 2018年10月16日|华为Mate 20系列全球发布，年度旗舰定义智慧终端新高度|10月16日，华为正式发布具有里程碑意义的全新一代 Mate 20系列新品，同时也揭开了消费者最为期待的2018年度旗舰手机的神秘面纱。
新闻 | 2018年10月16日|亚太WTTx峰会：各方联合倡议共推数字家庭发展|GTI，Informa和华为成功举办了亚太WTTx（固定无线宽带接入）峰会。
新闻 | 2018年10月16日|华为云成为Cloud Foundry基础设施供应商之一|近日，Cloud Foundry基金会在华为全联接大会（HUAWEI CONNECT 2018）期间宣布，华为云成为Cloud Foundry基础设施供应商之一。
新闻 | 2018年10月16日|华为新一代关键业务云存储FusionStorage加速关键业务云化|在HUAWEI CONNECT 2018（华为全联接大会）期间，华为宣布了其新一代关键业务云存储FusionStorage的重大升级，
新闻 | 2018年10月16日|华为携手英特尔发布KunLun L-Par业务整合解决方案|在华为全联接大会（HUAWEI CONNECT）上，华为与英特尔联合发布了KunLun L-Par业务整合解决方案。
新闻 | 2018年10月16日|华为与Commvault联合推出华为超融合数据保护解决方案|在HUAWEI CONNECT 2018期间，华为与全球企业数据备份、恢复、归档和云服务领导者Commvault共同推出华为超融合数据保护解决方案（Huawei Data Protection with Commvault HyperScale）。
新闻 | 2018年10月16日|华为发布FusionCube混合云，打造积木式混合云解决方案|在HUAWEI CONNECT 2018期间，华为发布了FusionCube混合云解决方案，通过使用FusionCube超融合来打造积木式、集中式交付的混合云方案，旨在帮助客户根据业务的需要高效、简单、快速地扩展和部署混合云。
新闻 | 2018年10月15日|华为发布IoT云服务2.0，以“联接+云+智能”使能产业物联网|在HUAWEI CONNECT 2018期间，华为正式发布IoT云服务2.0，聚焦物联网基础设施，构建产业生态黑土地，通过做大联接、利用云服务和AI智能做强产业物联网，使能行业数字化。
新闻 | 2018年10月15日|华为发布iCooling@AI解决方案 助力数据中心从制冷到“智冷”|在HUAWEI CONNECT 2018期间，华为面向全球客户发布了基于AI的iCooling解决方案，助力大型数据中心制冷系统从制冷走向智冷，这标志着华为网络能源在数据中心领域节能降耗方面迈向新高度。
新闻 | 2018年10月15日|华为完成全球首个LTE TDD + FDD上行载波聚合测试|近日4G产业发展取得重大进展，华为LTE产品线与海思共同完成全球首个LTE TDD+FDD上行载波聚合（Carrier Aggregation）IOT测试。
新闻 | 2018年10月15日|华为与渣打银行联合打造基于IOT技术的供应链金融解决方案|华为和渣打银行宣布，将联合打造基于物联网（IoT）的供应链金融解决方案，以彻底改变企业对银行融资难，付款慢的传统供应链金融方式。企业无需再通过纸质文件或者电子邮件与银行启动交易。
新闻 | 2018年10月15日|华为携手微软联合发布全闪存Azure Stack解决方案，加速混合云业务|在华为全联接大会2018（HUAWEI CONNECT）上，华为携手微软联合发布了全闪存Azure Stack解决方案，帮助客户实现业务的加速和提升数据的可靠性，带给企业混合云业务的极致体验。
新闻 | 2018年10月15日|华为在HUAWEI CONNECT 2018发布移动数据中心|在HUAWEI CONNECT 2018期间，华为重磅发布了涵盖芯片、平台、操作系统、开发框架的使能自动驾驶的移动数据中心MDC。
新闻 | 2018年10月12日|2018华为开发者大赛落下帷幕，88支队伍赢得奖项|今日，在HUAWEI CONNECT 2018期间，华为举办了开发者大赛颁奖典礼，88支队伍分别赢得了一、二、三等奖，为2018年华为开发者大赛划上圆满的句号。
新闻 | 2018年10月12日|华为发布量子计算模拟器HiQ云服务平台|华为今日在HUAWEI CONNECT 2018发布量子计算模拟器HiQ云服务平台，包括量子计算模拟器与基于模拟器开发的量子编程框架。
新闻 | 2018年10月12日|华为首发沃土AI开发者使能计划|今日，在HUAWEI CONNECT 2018期间，面向开发者、合作伙伴、高校和科研机构，华为发布了沃土AI开发者使能计划，以全栈、全场景AI为依托，全力发展开发生态，在AI资源提供、平台支撑、课程赋能、联合解决方案等多方面提供支持，携手各方打造用得起、用得好、用得放心的普惠AI生态。
新闻 | 2018年10月12日|华为云发布更快的全流程AI开发平台|今日，在HUAWEI CONNECT 2018期间，华为云发布AI全流程开发平台与工具更快的AI开发平台ModelArts、更懂开发者的视觉AI应用开发平台HiLens、探索未来的量子计算模拟器与编程框架HiQ。
新闻 | 2018年10月11日|德国电信与华为联合发布PLAS云连接服务|今日，在HUAWEI CONNECT 2018期间，德国电信T-Systems与华为联合发布基于Open Telekom Cloud的云连接服务（Private Link Access Service, PLAS）。
新闻 | 2018年10月11日|华为发布HiSec智能安全解决方案|打造ICT基础设施的安全基石|在2018华为HC大会期间，华为发布HiSec智能安全解决方案。该产品基于IPDRR架构和网络韧性理念，为客户提供全面防护、智能高效、面向未来的端到端ICT基础设施智能安全解决方案，同时面向IoT/SoftCOM/私有云/平安城市/5G等五大解决方案提供安全公共能力。
新闻 | 2018年10月11日|华为召开全球行业组织高峰会议 发布全球产业合作计划|在HUAWEI CONNECT 2018期间，华为推动成立全球行业组织 (GIO，Global Industry Organization) 召开高峰会议，致力于连接全球产业组织，推动行业数字化产业发展，共建未来智能世界，并发布华为全球产业合作计划，推动跨行业、跨技术领域的合作，促进数字化和普惠AI。
新闻 | 2018年10月11日|华为云全面进入AI新时代，发布EI城市智能体|今日，在HUAWEI CONNECT 2018的第二天全体大会上，华为云BU EI服务产品部总经理贾永利宣布，华为云EI（企业智能）服务基于华为最新AI芯片实现能力升级，通过三大典型场景加速推动AI行业落地，并正式发布华为云EI城市智能体，帮助解决更多城市难题。
新闻 | 2018年10月11日|华为与奥迪正式宣布在L4自动驾驶领域的联合创新|今日，在HUAWEI CONNECT 2018期间，华为与德国汽车制造公司奥迪正式宣布了双方在智能网联汽车领域的下一步合作计划，并通过最新的奥迪Q7展示了双方领先的技术。
新闻 | 2018年10月11日|华为发布Atlas智能计算平台，以强大算力开启AI未来|今日，在华为全联接大会2018（HUAWEI CONNECT）上，华为发布了基于华为Ascend（昇腾）系列芯片和业界主流异构计算部件的Atlas智能计算平台，通过模块、板卡、小站、一体机等丰富的产品形态，打造面向端、边、云的全场景AI基础设施方案。
新闻 | 2018年10月11日|中国联通与华为联合发布《物联网安全白皮书2018》，引领物联网产业健康发展|今日，在华为全联接大会上，中国联通联合华为共同发布了《物联网安全技术白皮书2018》，并签署物联网安全战略合作协议。
新闻 | 2018年10月10日|华为用+AI的数字平台 驱动数字化转型和智能化升级|今日，在HUAWEI CONNECT 2018上，华为企业BG以平台的力量为主题，分享了数字平台+X+生态的模式如何帮助政府和企业加速转型。
新闻 | 2018年10月10日|华为全面升级面向行业的智简网络解决方案|在HUAWEI CONNECT 2018（2018华为全联接大会）期间，华为全面升级面向行业的智简网络（Intent-Driven Network，IDN）解决方案，基于数字世界和物理网络构建完整的网络系统，帮助行业客户面向不同的商业场景灵活构建以用户体验为中心的智能化网络，使能行业数字化转型，最大化商业价值。
新闻 | 2018年10月10日|云端创新先锋，四家企业荣获华为云超级用户奖|今日，在HUAWEI CONNECT 2018+AI，迈向智能云数据中心的创新之路的峰会期间，华为云授予哈药集团、新浪微博、恺英网络、金域医学四家企业超级用户奖，并在此基础上分设专项领域奖。以表彰这四家企业一年来，在华为云上进行的场景化应用实践，并在各自行业领域实现的重大突破。
新闻 | 2018年10月10日|博世携手华为云，推出物联网套件服务|今日，在2018华为全联接大会(HUAWEI CONNECT)上，全球领先的技术与服务供应商博世与全球领先的信息与通信技术基础设施和智能终端提供商华为正式宣布合作，博世物联网套件软件服务(Bosch IoT Suite)将搭载于华为云实现在华落地应用，加速物联网在中国的发展。
新闻 | 2018年10月10日|华为助力客户迈向智能云数据中心的创新之路|今日，在+AI，迈向智能云数据中心的创新之路的主题峰会上，华为IT产品线总裁侯金龙发表了主题为+AI，华为智能全栈云的行业创新实践的演讲，来自金融、医疗、能源、互联网等行业的客户代表分享了在智能时代与华为在AI、云、HPC等技术领域的联合创新实践。
新闻 | 2018年10月10日|华为云与施耐德电气携手构建智慧园区|今天，2018华为全联接大会（HUAWEI CONNECT 2018）正式召开。大会期间，华为云与施耐德电气宣布，双方正式发布联合打造的基于华为云的能效管理解决方案，并基于华为北京智慧园区的能效管理项目率先实施。未来，双方都期待创造更多合作机会，助力能效管理更智慧。
新闻 | 2018年10月10日|2018华为数字经济论坛在沪召开，与国际大咖共话智能增长新赛道|华为全联接大会首日，以智能增长新赛道为主题的2018华为数字经济论坛隆重开幕，这是华为在全联接大会聚焦经济走势，宏观产业发展的唯一活动，首次向业界提出从数字经济到智能经济的转变。
新闻 | 2018年10月10日|华为发布AI战略与全栈全场景AI解决方案|第三届HUAWEI CONNECT 2018（华为全联接大会）今日在上海世博展览馆和世博中心隆重开幕，为期三天。作为ICT产业的全球性旗舰大会，HUAWEI CONNECT 2018以+智能，见未来为主题，探讨人工智能的挑战与机遇，分享+智能的创新与实践。
新闻 | 2018年10月10日|携手华为共促安哥拉数字化转型|释放ICT转型力量实现发展愿景|正在中国访问的安哥拉总统若昂曼努埃尔贡萨尔维斯洛伦索当天参观了华为北京研究所，并与华为公司高级副总裁易翔举行会谈。
新闻 | 2018年10月09日|华为发布业界首个5G Power系列解决方案|全球ICT能效峰会在意大利都灵召开，华为与来自Orange、Vodafone、Telefonica、Bell、中国移动、ITU（国际电信联盟）、ABI咨询公司等业界精英，以定义5G时代的通信能源为主题，积极探索5G时代下通信能源的演进趋势、应对战略、标准和解决方案。
新闻 | 2018年10月09日|华为获得Frost & Sullivan全球企业物联网平台卓越增长领导奖|基于对全球物联网平台市场的专业调研分析，Frost|Sullivan向华为颁发全球企业物联网平台卓越增长领导奖（Global End-to-End Enterprise IoT Platform Growth Excellence Leadership Award），以表彰华为在物联网平台领域及生态构建等方面的价值贡献。
新闻 | 2018年10月05日|华为提升至Interbrand“2018年全球最佳品牌榜单”第68位|2018年10月4日，全球领先的品牌咨询公司Interbrand发布了2018年全球最佳品牌榜单，华为排名上升至第68位。相比去年，华为排名提升2位，品牌价值提高14%，达76亿美元。
新闻 | 2018年10月04日|华为承建中国移动香港公司面向5G的综合承载网络|近日，中国移动香港有限公司（下文简称CMHK）宣布将与华为联合建设面向5G的综合承载网。
新闻 | 2018年10月03日|Beeline联手华为在俄罗斯实现首次5G全息呼叫|近日，VimpelCom（品牌Beeline）和华为共同演示了第五代（5G）移动连接的最新技术。
新闻 | 2018年09月30日|关于公司轮值董事长的当值公告|根据公司轮值董事长制度，2018年10月1日～2019年3月31日期间由郭平先生当值轮值董事长。轮值董事长在当值期间是公司最高领袖，主持公司董事会及董事会常务委员会
新闻 | 2018年09月30日|华为助力摩纳哥电信部署全境5G网络|作为阿尔贝二世亲王访华框架的成果之一，摩纳哥电信和华为于9月初正式签署了5G合作协议。
新闻 | 2018年09月28日|华为宣布业界首个企业级802.11ax Wi-Fi网络在“超·爱上海”信息亭商用|近日，业界首个企业级802.11ax Wi-Fi网络在上海市虹口区北外滩超爱上海信息亭开通，为这一全球Wi-Fi网速最快区域再次带来了变革性升级与极致体验。
新闻 | 2018年09月28日|华为领先中国5G技术研发试验第三阶段测试|今日，IMT-2020(5G) 推进组在2018年中国国际信息通信展览会（北京展）5G创新发展高峰论坛上公布中国5G技术研发试验第三阶段测试进展，华为首个完成基于3GPP R15国际标准的5G NSA（non-standalone，非独立组网）测试和SA(standalone,独立组网)功能测试， SA外场测试中再创佳绩，在整个三阶段测试中实现了各项性能最优。
新闻 | 2018年09月27日|华为X-Haul 5G承载解决方案再次斩获两项北京通信展大奖|在2018年中国国际信息通信展览会（以下简称北京通信展）期间，华为X-Haul 5G承载解决方案凭借5G Ready的综合实力在北京通信展年度系列风云评奖中，斩获光通信年度优秀综合竞争力奖、光通信产业杰出贡献奖两项大奖。
新闻 | 2018年09月26日|中国移动、沃达丰和华为联合演示ONAP跨运营商VPN编排功能|在首届欧洲开放网络峰会（ONS-EU）上， Linux基金会开放网络自动化平台（Open Network Automation Platform ，简称ONAP）项目的三家白金会员：中国移动、沃达丰（Vodafone）和华为，联合演示了ONAP先进的跨运营商多层多域VPN编排功能。
新闻 | 2018年09月26日|华为云化核心网解决方案获中国国际信息通信展多项大奖|在2018中国国际信息通信展览会上，华为云化核心网解决方案凭借持续创新的技术架构、领先的商用进展和对业界的杰出贡献，又一次获得了行业的高度认可，获得六项大奖。
新闻 | 2018年09月25日|华为与英特尔在中国5G技术研发试验第三阶段中完成首个符合SA标准的数据业务通信|今日，在中国IMT-2020(5G) 推进组组织的中国5G技术研发试验第三阶段测试中，华为与英特尔联合完成基于2018年6月份 3GPP R15协议的最新SA（Stand Alone）架构的首个数据业务通信，支持3GPP R15协议的全部流程（NSA和SA），标志着双方的IODT合作正式从研发测试走向了商用测试。
新闻 | 2018年09月25日|华为联合中国电信发布《灵活以太网技术白皮书》|今日，华为联合中国电信广州研究院正式发布《灵活以太网技术白皮书》（Flexible Ethernet，灵活以太，简称FlexE）。
新闻 | 2018年05月16日|华为获颁“2018年度优秀车联网解决方案提供商”|在2018年第二届智能汽车决策者大会上，华为获颁2018年度优秀车联网解决方案提供商，该奖项是业界对华为在端、管、云全领域提供领先车联网解决方案的充分肯定。
新闻 | 2018年05月15日|华为邀您在CEBIT2018 共奏数字世界交响曲|华为今日在德国汉诺威参加了2018国际消费电子信息及通信博览会(CEBIT 2018)的展前预热大会（CEBIT Preview 2018）。
新闻 | 2018年05月14日|华为与迪拜旅游局签署全球战略合作协议|华为消费者业务和迪拜旅游局签署了全球战略合作协议，双方就天际通接入迪拜旅游精品内容及服务等方面达成了战略合作，致力于共同提升中国游客在迪拜的出行体验。华为消费者业务云服务总裁张平安、华为消费者业务云服务副总裁苏杰、华为中东非洲终端业务部总裁焦健，及迪拜旅游局CEO Issam Kazim共同出席了签约仪式。
新闻 | 2018年05月11日|智能网络开启智能社会|在2018年第二届全球未来网络发展峰会上，华为技术有限公司副总裁张顺茂先生做了题为智能网络开启智能社会的主旨演讲，认为未来二三十年人类社会将演变为智能社会，而智能社会将深刻影响到每个人、每个家庭，每个组织，给他们带来创新的体验和效率的提升，以及学习、生活和工作等各个方面的便利。
新闻 | 2018年05月11日|华为全闪存阵列被DCIG评为最高推荐级产品|在全球著名的技术分析机构DCIG发布的《DCIG 2018年-2019年全闪存阵列购买指南》中，华为全闪存阵列被评为DCIG最高推荐级产品，这是在全新的全闪存阵列OceanStor F V5系列发布之后，华为全闪存存储再次获得市场的高度认可，同时印证了华为全闪存存储的技术竞争力。
新闻 | 2018年05月10日|中化牵手华为，将联合开展数字化领域合作|中国中化集团有限公司（简称中化集团）与华为在北京签署战略合作框架协议。
新闻 | 2018年05月10日|华为助力日本CyberAgent构建具备智简能力的全盒式云数据中心网络|近日，在华为全球分析师大会（HAS2018）上，日本互联网公司CyberAgent与华为联合宣布：通过采用华为CloudFabric云数据中心网络方案，CyberAgent成功建设了具备智简能力的全盒式云数据中心网络。
新闻 | 2018年05月09日|华为 2018 泛亚太 ISP 峰会发布新方案促进智能社会进程|华为今日以引领新ICT，实现并加速 ISP 的数字革命为主题，在香港港丽酒店召开了华为泛亚太 ISP 峰会，吸引了包括泰国 ISP 服务提供商 UIH（United Information Highway Company Limited）等150 多位东南亚 ISP 客户及行业专家出席，讨论ISP行业如何推进数字转型并为亚太地区数字经济发展开拓新机遇。
新闻 | 2018年05月08日|IDC报告：华为超融合基础设施FusionCube位居中国市场第一|近日，在全球权威的咨询与服务机构IDC最新发布的《IDC中国超融合市场跟踪报告，2017Q4》中，华为超融合基础设施FusionCube凭借其优异技术和市场表现获得2017年中国超融合市场第一，市场份额同比增长率超过200%。
新闻 | 2018年05月04日|5G已来，华为携手西班牙ICT领导者聚焦5G新进展|近日，华为在马德里开启2018西欧5G巡展。2018年，5G已来。在之后的三个月内，巡展车将在欧洲十国亮相，展示华为5G端到端全系列、全场景、全云化产品解决方案，并进行基于5G真实网络的无人机和VR业务展示。
新闻 | 2018年05月02日|华为海洋PEACE项目海洋勘测顺利进行中|华为海洋今天宣布，PEACE(Pakistan|East Africa Connecting Europe)项目海洋勘测正在有序进行中。该项目自2017年年底签署建设合同以来，项目进展顺利，预计于2019年第四季度交付使用。
新闻 | 2018年04月28日|华为MEC@CloudEdge解决方案荣获“MEC最佳实践奖”|在2018 MEC技术与产业发展峰会上，华为MEC@CloudEdge解决方案在本次峰会上荣获MEC最佳实践奖。
新闻 | 2018年04月27日|平安科技携手华为SD-WAN快速上线AI客服业务|近日，在2018年华为全球分析师大会上，行业领先的科技公司平安科技宣布，通过华为SD-WAN（软件定义广域网）专线互联解决方案，快速上线AI客服业务，为用户提供随心随地、安全可靠、高效便捷的极致体验保险服务。
新闻 | 2018年04月26日|中国联通携手华为发布业界首个5G Edge-Cloud智慧港口解决方案，并已全面展开试点工作|在中国联通合作伙伴大会暨通信信息终端交易会上，中国联通携手华为联合发布了业界首个5G Edge-Cloud智慧港口解决方案，为智慧港口建设提供全联接的无线网络支撑。目前，该方案已经具备规模商用能力，并在中国联通MEC Edge-Cloud多个试点城市的大型港口开展了示范应用。
新闻 | 2018年04月26日|华为携手行业伙伴成立5G产业自动化联盟5G-ACIA 助力5G工业应用|随着新一代移动网络5G的日益成熟，工业领域将迎来巨大改变。近日，"5G产业自动化联盟"（5G-ACIA）在德国电气和电子制造商协会（ZVEI）的基础上正式成立，该联盟旨在推动5G在工业生产领域的落地，确保5G从运用之初即具备相应产业能力。
新闻 | 2018年04月26日|华为助力中国移动打造基于5G最新标准的端到端开放实验室|中国移动5G联合创新中心合作伙伴会议期间，中国移动联合华为在北京打造了基于5G最新标准的端到端开放实验室，并进行了4K超高清5G VR 真实业务演示。该实验室将为来自各行各业的合作伙伴提供5G端到端能力，不断推动跨行业融合创新的繁荣发展。
新闻 | 2018年04月26日|华为FusionServer 2488H V5 HANA一体机打破SAP BW 版SAP HANA标准应用程序基准版本2记录|近日，在SAP BW版SAP HANA标准应用程序基准版本2的标准检测程序中，华为FusionServer 2488H V5 HANA一体机在基准阶段2的吞吐量查询中取得每小时执行6781次查询的优异成绩，打破记录。
新闻 | 2018年04月26日|华为荣获2018 MVNO全球峰会“最佳解决方案提供商奖”|在今日举办的2018 MVNO 全球峰会（MVNOs World Congress 2018）上，华为Dealer Agent Cloud荣获最佳解决方案提供商奖（Best Solution Provider Award）。
新闻 | 2018年04月26日|华为荣获IMS世界论坛两项大奖，构筑面向5G的实时通信演进能力|在2018年IMS世界论坛上，华为荣获ldquo;最佳5G实时通信演进策略rdquo;（ Best 5G Real-time Communication Evolution Strategy）、ldquo;最佳IMS解决方案rdquo;（Best IMS Solution）两项大奖。
新闻 | 2018年04月25日|华为Wireless X Labs携手Beckhoff展示未来工厂5G关键应用|2018年汉诺威工业博览会期间，华为Wireless X Labs携手Beckhoff展示了未来工厂的5G关键应用无线可编程逻辑控制器（PLC）。两家公司成功地完成了概念验证，在两个PLC之间实现了5 G无线工业网络通信。与当前的有线联接相比，使用蜂窝技术联接的PLC技术将更为经济，并有着更高的可持续发展潜力。
新闻 | 2018年04月25日|华为与IDC联合发布银行数字化转型白皮书|银行将转型全联接平台|今日，在北京举行的华为全球金融峰会上，华为与全球权威的咨询与服务机构IDC联合首发《数字化引领银行业》白皮书，白皮书指出，下一波银行业的变革将从全联接的银行开始，银行在技术和业务模式上将更加开放，传统银行和Fintech将演变成为有机的生态系统，转型后的核心系统将为银行业新的增长奠定基础。
新闻 | 2018年04月25日|华为发布新一代企业级分布式数据仓库FusionInsight LibrA|今日，在华为全球金融峰会上，华为发布了新一代企业级分布式数据仓库FusionInsight LibrA 解决方案（以下简称LibrA），旨在为各行业客户提供统一的、可扩展的、高性能的数据分析平台。
新闻 | 2018年04月25日|民生银行与华为成立联合创新实验室|今日，在北京举行的 2018华为全球金融峰会期间，民生银行与华为联合创新实验室正式成立，联合创新实验室主要聚焦智慧金融场景、金融云、大数据、新一代网络架构、新一代绿色环保智能数据中心、人工智能、物联网等七大领域，将推动民生银行与华为进一步协同构建科技+金融新生态。
新闻 | 2018年04月25日|华为：数字银行全联接平台 勾勒未来银行无限可能|华为今日以新ICT，激发数字化金融新转型为主题，在北京香格里拉饭店召开了华为全球金融峰会。今年吸引了包括中国工商银行、新加坡星展银行、中国人寿、民生银行、中国农业银行、中国招商银行、中国太平洋保险等800多位海内外金融客户及行业专家出席。
